tag	type	c_code	l_name	officialStatus	populationPercent	references	writingPercent	geo	ISO
lif_Deva-NP	lif_Deva	NP	lif (Devanagari)		0.0110			NP	NPL
lij-IT	lij	IT	Ligurian		0.0086			IT	ITA
lis-CN	lis	CN	Lisu		0.0004			CN	CHN
ljp-ID	ljp	ID	Lampung Api		0.0069			ID	IDN
lki-IR	lki	IR	Laki		0.0076	R1212		IR	IRN
lkt-US	lkt	US	Lakota		0.0000	R1240		US	USA
lmn-IN	lmn	IN	Lambadi		0.0027			IN	IND
lmo-CH	lmo	CH	Lombard		0.0410	R1086	5	CH	CHE
lmo-IT	lmo	IT	Lombard		0.0003			IT	ITA
ln-AO	ln	AO	Lingala		0.0067	R1010		AO	AGO
ln-CD	ln	CD	Lingala	official_regional	0.0310			CD	COD
ln-CF	ln	CF	Lingala		0.0024			CF	CAF
ln-CG	ln	CG	Lingala		0.0240			CG	COG
lo-LA	lo	LA	Lao	official	0.6900			LA	LAO
lol-CD	lol	CD	Mongo		0.0061			CD	COD
loz-ZM	loz	ZM	Lozi		0.0600	R1285		ZM	ZMB
lrc-IR	lrc	IR	Northern Luri		0.0210		10	IR	IRN
lt-LT	lt	LT	Lithuanian	official	0.8600			LT	LTU
lt-PL	lt	PL	Lithuanian	official_regional	0.0002	R1258		PL	POL
ltg-LV	ltg	LV	Latgalian		0.0890			LV	LVA
lu-CD	lu	CD	Luba-Katanga		0.0230	R1093		CD	COD
lua-CD	lua	CD	Luba-Lulua	official_regional	0.0960	R1092		CD	COD
luo-KE	luo	KE	Luo		0.0980			KE	KEN
luy-KE	luy	KE	Luyia		0.1100			KE	KEN
luz-IR	luz	IR	Southern Luri		0.0120			IR	IRN
lv-LV	lv	LV	Latvian	official	0.6100			LV	LVA
lwl-TH	lwl	TH	Eastern Lawa		0.0001			TH	THA
lzh-CN	lzh	CN	Literary Chinese		0.0000	R1150		CN	CHN
lzz_Latn-TR	lzz_Latn	TR	Laz (Latin)		0.0003			TR	TUR
mad-ID	mad	ID	Madurese		0.0630		40	ID	IDN
maf-CM	maf	CM	Mafa		0.0073			CM	CMR
mag-IN	mag	IN	Magahi		0.0120	R1098	30	IN	IND
mai-IN	mai	IN	Maithili	official_regional	0.0120	R1195		IN	IND
mai-NP	mai	NP	Maithili		0.1100			NP	NPL
mak-ID	mak	ID	Makasar		0.0073			ID	IDN
man_Latn-GM	man_Latn	GM	Mandingo (Latin)		0.2900			GM	GMB
man_Nkoo-GN	man_Nkoo	GN	Mandingo (N’Ko)		0.2300			GN	GIN
